pair_id,portrait_path,audio_path,audio_duration_sec,language,notes
P001,assets/portraits/agatha_christie.jpg,assets/audio/bungo_stray_dogs_namae_wo_yobu_yo_acapella.wav,221.379,und,
P002,assets/portraits/albert_einstein.jpeg,assets/audio/death_note_l_speech_i_am_that_monster.wav,97.744,und,
P003,assets/portraits/donald_trump.jpeg,assets/audio/death_note_light_yagami_evil_laugh.wav,47.659,und,
P004,assets/portraits/franz_kafka.jpg,assets/audio/gen_z_and_kafka.wav,175.547,und,
P005,assets/portraits/fyodor_dostoevsky.jpeg,assets/audio/insha_ji_utho_urdu_vocal_harmony.wav,288.752,und,
P006,assets/portraits/goku_voice_actor.jpeg,assets/audio/introduction_to_literature.wav,261.560,und,
P007,assets/portraits/hayao_miyazaki.jpg,assets/audio/itachi_speech_on_reality.wav,28.967,und,
P008,assets/portraits/kim_jong_un.jpeg,assets/audio/leo_tolstoy_in_9_minutes.wav,541.327,und,
P009,assets/portraits/light_yagami_voice_actor.jpeg,assets/audio/madara_wake_up_to_reality_japanese.wav,83.929,und,
P010,assets/portraits/marie_curie.jpeg,assets/audio/marino_devil_in_disguise_acapella.wav,106.603,und,
P011,assets/portraits/martin_luther_king_jr.jpeg,assets/audio/nanami_kento_money_speech_japanese.wav,72.333,und,
P012,assets/portraits/nelson_mandela.jpeg,assets/audio/osaragi_sensei_lesson_sakamoto_days.wav,81.734,und,
P013,assets/portraits/osamu_dazai_anime_character.jpg,assets/audio/torrential_rain_rawalpindi_islamabad_news.wav,119.957,und,
P014,assets/portraits/osamu_dazai_author.png,assets/audio/understanding_poetry_importance_of_literature.wav,392.299,und,
P015,assets/portraits/queen_elizabeth.jpeg,assets/audio/zia_mohyeddin_hamlet_act_2_scene_2.wav,57.934,und,
P016,assets/portraits/sherlock_holmes_live_action.jpeg,assets/audio/zia_mohyeddin_shakespeare_and_z_a_bukhari_imtiaz_ali_taj.wav,336.980,und,
P017,assets/portraits/william_james_moriarty.jpeg,assets/audio/zia_mohyeddin_zindagi_se_darte_ho.wav,150.163,und,
